,ccode,cname,con_true,labour_true,libdem_true,other_true,con_est,labour_est,libdem_est,other_est,winner,predicted_winner,correct
425,E14000955,"Southampton, Itchen",50.5092697143555,41.0240211486816,5.27825212478638,3.18846082687378,30.9308646864418,17.0030318302999,14.6337435776155,11.4924311372115,con,con,1
426,E14000956,"Southampton, Test",35.6558647155762,49.4643707275391,7.66546630859375,7.21429511904716,20.0982718971396,30.5737241358362,9.05023696120475,15.9238477465315,labour,labour,1
427,E14000957,Southend West,59.2109489440918,28.1410484313965,11.4145736694336,1.23342716693878,37.6026928651825,14.8296529437882,14.463454839572,10.1505952365427,con,con,1
428,E14000958,Southport,47.559154510498,38.951847076416,13.4889993667603,0.0,29.0657121905204,18.2785270220417,12.9650276654348,16.8147637629893,con,con,1
429,E14000959,Spelthorne,58.8588180541992,21.7087459564209,15.1464357376099,4.28600263595581,34.8286853000666,14.8943501313415,12.4287895846052,13.091350780109,con,con,1
430,E14000960,St Albans,39.191650390625,8.68070602416992,50.1171875,2.01045161485672,33.5630351801478,10.9849185511463,25.9213782683192,10.4181066224449,libdem,con,0
431,E14000961,St Austell and Newquay,56.068920135498,26.4396877288818,10.5081033706665,6.98329019546509,40.6319844722425,16.4701021894612,9.58009719072903,10.5020156554488,con,con,1
432,E14000962,St Helens North,26.620548248291,52.2907447814941,5.60963821411133,15.4790682792664,23.3673434099128,37.699503974201,9.25675826156955,11.927548855478,labour,labour,1
433,E14000963,St Helens South and Whiston,20.541410446167,58.5474891662598,5.73609209060669,15.1750040054321,25.7242950653759,33.6141184467971,7.23153896737524,14.0340554268691,labour,labour,1
434,E14000964,St Ives,49.3357734680176,6.91070318222046,41.0110282897949,2.74249702692032,24.4108262535796,15.8113381375266,26.3575098968898,13.1051264254324,con,libdem,0
435,E14000965,Stafford,58.6365356445312,30.5284557342529,6.20735502243042,4.62765645980835,33.921157816414,20.1320920794224,11.8608264774884,12.1284072578132,con,con,1
436,E14000966,Staffordshire Moorlands,64.5776062011719,26.9470386505127,5.65558004379272,2.81977272033691,29.6607895785228,14.957335392164,12.0548089945949,18.2709243066746,con,con,1
437,E14000967,Stalybridge and Hyde,37.9508094787598,44.9041709899902,4.31221675872803,12.8327983617783,30.963695643749,21.196151971482,10.5538650820099,12.951485107674,labour,con,0
438,E14000968,Stevenage,53.1174659729004,35.1613807678223,8.66556262969971,3.05559635162354,32.5987060430812,15.8722211853984,14.4533763947386,11.9882524947145,con,con,1
439,E14000969,Stockport,27.9419860839844,52.0076675415039,12.0891761779785,7.96116518974304,27.7226369903923,24.1238697609686,14.8895343624837,10.6241924980524,labour,con,0
